Change Physical Footprint: Designator=C54 Old Footprint=C0805BSM New Footprint=C0805BSM
Change Physical Footprint: Designator=D15 Old Footprint=TRNPNBSM New Footprint=TRNPNBSM
Change Physical Footprint: Designator=Q5 Old Footprint=TRPNPBSM New Footprint=TRPNPBSM
Change Physical Footprint: Designator=Q8 Old Footprint=TRNPNBSM New Footprint=TRNPNBSM
Change Physical Footprint: Designator=R27 Old Footprint=R0805BSM New Footprint=R0805BSM
Change Physical Footprint: Designator=R33 Old Footprint=R0805BSM New Footprint=R0805BSM
Change Physical Footprint: Designator=R35 Old Footprint=R0805BSM New Footprint=R0805BSM
Change Physical Footprint: Designator=R42 Old Footprint=R0805BSM New Footprint=R0805BSM
Change Physical Footprint: Designator=VD6 Old Footprint=D41P2H-1 New Footprint=D41P2H-1
